,diff_at_least_6_or_at_most_2_&_at_least_4,diff_at_least_6_or_at_most_2_&_at_most_3,diff_first_3_&_at_least_3,diff_last_3_&_at_least_3,diff_not_only_&_not_all,diff_M_&_most
count,120.0,120.0,120.0,120.0,120.0,120.0
mean,116.93085483371327,116.93085483371327,40.24615849391194,26.83260407352774,-7.514475209140513,0.0
std,142.98835917745978,142.98835917745978,109.27944181762466,103.27853684606809,67.15007140946422,0.0
min,0.0,0.0,-193.94284317246138,-204.15036123417008,-214.3578792958782,0.0
25%,9.588476134168147,9.588476134168147,0.0,-8.409390936137711,-38.58921247117322,0.0
50%,55.26356232301379,55.26356232301379,0.0,0.0,-3.7004270897291214,0.0
75%,155.28706170750354,155.28706170750354,43.037239420932615,55.40034288088621,19.788320241805067,0.0
max,551.205975332259,551.205975332259,408.3007224683397,347.05561409808865,214.3578792958782,0.0
