,diff_at_least_6_or_at_most_2_&_at_least_4,diff_at_least_6_or_at_most_2_&_at_most_3,diff_first_3_&_at_least_3,diff_last_3_&_at_least_3,diff_not_only_&_not_all,diff_M_&_most
count,120.0,120.0,120.0,120.0,120.0,120.0
mean,21.125,19.6375,11.333333333333334,0.275,0.008333333333333333,0.0
std,22.771817500342557,22.420725190484514,18.631469417656366,19.5900045255463,10.24756239376007,0.0
min,0.0,0.0,-10.5,-57.5,-26.0,0.0
25%,6.0,2.0,0.0,-4.125,-2.0,0.0
50%,10.25,8.0,1.25,0.0,0.0,0.0
75%,29.75,30.5,15.5,0.0,2.0,0.0
max,77.0,74.5,80.0,72.5,26.0,0.0
