,Unnamed: 0,C_LZ,C_bzip,C_gzip,LZ,LZ_rev,bzip,bzip_rev,conservativity,gzip,gzip_rev,max_model_size,monotonicity,num_chars,order_num,order_type,quantifier,quantity,uniformity
1297,1,857.4315171835132,172.0,1057.0,53,31,181,163,True,1059,1055,10,up,4,0,lex,at_least_6,True,0.9831156569630212
1298,2,1194.2796132198935,267.0,1199.0,74,43,292,242,True,1231,1167,10,non,4,0,lex,at_least_6_or_at_most_2,True,0.5677004506115443
1299,3,683.903710134469,126.5,1018.5,38,29,103,150,True,1022,1015,10,non,4,0,lex,even,True,0.5007317073170732
1300,4,908.4691074920556,196.5,1138.0,56,33,205,188,True,1147,1129,10,down,4,0,lex,at_most_3,True,0.7945483155711323
1301,5,847.2239991218048,174.0,1109.5,52,31,187,161,True,1114,1105,10,up,4,0,lex,at_least_3,True,0.5508161075745655
1302,6,1194.2796132198935,238.0,862.0,67,50,242,234,True,885,839,10,up,4,0,lex,first_3,False,0.8836056076103282
1303,7,1194.2796132198935,235.5,1211.0,63,54,239,232,True,1215,1207,10,up,4,0,lex,last_3,False,0.8836056076103282
1304,8,622.6586017642179,133.5,691.0,30,31,138,129,True,697,685,10,down,4,0,lex,not_all,True,0.9366483084185679
1305,9,581.828529517384,137.5,689.5,22,35,150,125,False,690,689,10,up,4,0,lex,not_only,True,0.9366483084185679
1306,10,2582.5020696122488,465.5,1560.0,135,118,470,461,True,1592,1528,10,up,4,0,lex,most,True,0.5897475144839425
1307,11,2582.5020696122488,465.5,1560.0,135,118,470,461,False,1592,1528,10,up,4,0,lex,M,True,0.5897475144839425
1308,12,908.4691074920556,194.0,1137.0,56,33,198,190,True,1147,1127,10,up,4,1,lex,at_least_4,True,0.7945483155711323
1309,13,857.4315171835132,172.0,1057.0,53,31,181,163,True,1059,1055,10,up,4,1,lex,at_least_6,True,0.9831156569630212
