,Unnamed: 0,C_LZ,C_bzip,C_gzip,LZ,LZ_rev,bzip,bzip_rev,conservativity,gzip,gzip_rev,max_model_size,monotonicity,num_chars,order_num,order_type,quantifier,quantity,uniformity
1134,1134,738.6756968399211,154.5,170.5,44,46,161,148,True,174,167,8,up,4,10,lex,first_3,False,0.8969672693980316
1135,1135,779.71323555325,144.5,185.5,47,48,148,141,True,190,181,8,up,4,10,lex,last_3,False,0.8969672693980316
1136,1136,377.5453561626263,101.0,127.5,18,28,109,93,True,125,130,8,down,4,10,lex,not_all,True,0.8873884184023804
1137,1137,336.50781744929736,83.0,112.5,24,17,85,81,False,110,115,8,up,4,10,lex,not_only,True,0.8873884184023804
1138,1138,1083.3910220318844,180.0,203.0,67,65,183,177,True,207,199,8,up,4,10,lex,most,True,0.6005722133211261
1139,1139,1083.3910220318844,180.0,203.0,67,65,183,177,False,207,199,8,up,4,10,lex,M,True,0.6005722133211261
1140,1140,755.0907123252526,153.0,182.5,44,48,156,150,True,185,180,8,up,4,11,lex,at_least_4,True,0.8994506752117192
1141,1141,533.4880032732764,119.0,145.5,31,34,122,116,True,146,145,8,up,4,11,lex,at_least_6,True,0.9965667200732432
1142,1142,984.9009291198947,186.5,206.0,57,63,196,177,True,210,202,8,non,4,11,lex,at_least_6_or_at_most_2,True,0.7073472190432594
1143,1143,476.03544907461577,108.5,139.0,24,34,110,107,True,138,140,8,non,4,11,lex,even,True,0.5029182879377432
1144,1144,755.0907123252526,153.0,185.5,44,48,158,148,True,188,183,8,down,4,11,lex,at_most_3,True,0.8994506752117192
1145,1145,705.8456658692578,154.0,179.0,41,45,163,145,True,181,177,8,up,4,11,lex,at_least_3,True,0.7039139391165026
1146,1146,722.2606813545896,154.5,168.5,44,44,167,142,True,175,162,8,up,4,11,lex,first_3,False,0.8969672693980316
1147,1147,738.6756968399211,140.0,181.5,43,47,143,137,True,180,183,8,up,4,11,lex,last_3,False,0.8969672693980316
1148,1148,402.1678793906237,99.0,128.5,24,25,104,94,True,131,126,8,down,4,11,lex,not_all,True,0.8873884184023804
1149,1149,336.50781744929736,83.0,112.5,24,17,85,81,False,110,115,8,up,4,11,lex,not_only,True,0.8873884184023804
1150,1150,1083.3910220318844,180.0,204.5,67,65,182,178,True,208,201,8,up,4,11,lex,most,True,0.6005722133211261
1151,1151,1083.3910220318844,180.0,204.5,67,65,182,178,False,208,201,8,up,4,11,lex,M,True,0.6005722133211261
1152,1152,690.563699843382,158.5,351.5,47,28,162,155,True,364,339,9,up,4,0,lex,at_least_4,True,0.8505682013252309
1153,1153,589.2810238663526,130.0,308.0,40,24,135,125,True,316,300,9,up,4,0,lex,at_least_6,True,0.9916457811194652
1154,1154,893.1290517974406,202.0,380.0,61,36,222,182,True,403,357,9,non,4,0,lex,at_least_6_or_at_most_2,True,0.6348405259724654
1155,1155,552.4509598747055,108.5,315.0,34,26,91,126,True,318,312,9,non,4,0,lex,even,True,0.5014619883040936
1156,1156,690.563699843382,156.0,353.0,47,28,163,149,True,364,342,9,down,4,0,lex,at_most_3,True,0.8505682013252309
1157,1157,662.9411518496466,147.0,347.5,45,27,157,137,True,358,337,9,up,4,0,lex,at_least_3,True,0.6264863070919308
1158,1158,920.751599791176,193.5,337.5,57,43,199,188,True,354,321,9,up,4,0,lex,first_3,False,0.8889146381936577
